MailChimp,MailChimp
Save,Guardar
Save and Continue Edit,Guardar y continuar Editar
Delete,Borrar
Edit Store '%1',Editar Tienda '%1'
Add Store,Añadir Tienda
Address,Dirección
Street,Calle
City,Ciudad
Postal Code,Código Postal
Select one,Seleccionar una
Country,País
Store Address Info,Información de la Dirección de la Tienda
General,General
Apikey,Apikey
Select first an ApiKey,Seleccione primero una ApiKey
List,Lista
Name,Nombre
Domain,Dominio
Email,Correo Electrónico
Currency,Moneda
Locale,Configuración regional
TimeZone,Zona horaria
Phone,Teléfono
Store Info,Información de la Tienda
Mailchimp Store Information,Información de la Tienda MailChimp
button_label,button_label
Mailchimp,Mailchimp
Magento,Magento
Add,Añadir
Shipping Zip Code,Código Postal de Envío
Shipping Country,País de Envío
Shipping City,Ciudad de Envío
Shipping State,Estado de Envío
Shipping Telephone,Teléfono de Envío
Shipping Company,Empresa de Envío
Shipping Street,Calle de envío
Billing Zip Code,Código Postal de Facturación
Billing Country,País de Facturación
Billing City,Ciudad de Facturación
Billing State,Estado de Facturación
Billing Telephone,Teléfono de Facturación
Billing Company,Empresa de Facturación
Billing Street, Calle de facturación
Mailchimp Batches,Lotes de Mailchimp
Mailchimp Cron,Mailchimp Cron
User name:,Nombre de usuario:
Total Account Subscribers:,Total de suscriptores de la cuenta:
Total List Subscribers:,Total de suscriptores de la lista:
Ecommerce Data uploaded to MailChimp:,Datos de comercio electrónico cargados a MailChimp:
Total customers:,Total de clientes:
Total products:,Total de productos:
Total orders:,Total de pedidos:
Total Carts:,Total de carritos:
"Ecommerce disabled, save configuration to enable","Comercio electrónico deshabilitado, guardar configuración para habilitar"
"Ecommerce disabled, only subscribers will be synchronized (your orders, products,etc will be not synchronized)","Comercio electrónico deshabilitado, solo se sincronizarán los suscriptores (sus pedidos, productos, etc. no se sincronizarán)"
--- Invalid API Key ---,--- Clave API no válida ---
Mailchimp Errors,Errores de Mailchimp
You deleted the store.,Eliminó la tienda.
'Store could not be deleted.' .,'No se pudo eliminar la tienda.' .
This store no longer exists.,Esta tienda ya no existe.
Mailchimp Store,Tienda Mailchimp
Mailchimp Stores,Tiendas Mailchimp
'Store could not be saved.' .,'No se pudo guardar la tienda.' .
You can't access this cart,No puede acceder a este carrito
Login to complete your order,Inicie sesión para completar su pedido
Thanks for sharing your interest with us,Gracias por compartir su interés con nosotros
Json error,Error de JSON
Error retrieving interest groups for store ,Error al recuperar grupos de interés para la tienda
Order [' . . '] is empty,El pedido [' . . '] está vacío
Parent rule with id ' . . 'has not been correctly sent.,La regla principal con id ' . . ' no se ha enviado correctamente.
Something went wrong when retrieving the information for promo rule,Algo salió mal al recuperar la información para la regla de promoción
Something went wrong when retrieving the information.,Algo salió mal al recuperar la información.
Invalid API Key,Clave API no válida
Username,Nombre de usuario
This account is currently syncing,Esta cuenta se está sincronizando actualmente
Account Synced since,Cuenta sincronizada desde
---No Data---,---Sin datos---
No,No
Unsubscribe,Cancelar suscripción
Delete subscriber,Eliminar suscriptor
Syncing,Sincronizando
Synced,Sincronizado
Waiting,En espera
Error,Error
Resyncing,Resincronizando
With error,Con error
Unsupported,No compatible
Edit,Editar
MailChimp Information,Información de MailChimp
No Interest groups found,No se encontraron grupos de interés
Mailchimp v,Mailchimp v
 by,por
Need help? See our ,¿Necesita ayuda? Consulte nuestra
Wiki,Wiki
 Got feedback? ,¿Tiene comentarios?
Email us,Envíenos un correo electrónico
You can find more extension in our ,Puede encontrar más extensiones en nuestra
Store,Tienda
Subscribe to more detailed newsletters,Suscríbase a boletines informativos más detallados
Newsletter,Boletín informativo
Sign Up for Our Newsletter:,Suscríbase a nuestro boletín informativo:
Enter your email address,Ingrese su dirección de correo electrónico
Enter your phone,Ingrese su teléfono
Subscribe,Suscribirse
Mailchimp General Configuration,Configuración general de Mailchimp
Enabled,Habilitado
API Key,Clave API
You must create a MailChimp Store for this API key to connect to this account,Debe crear una tienda MailChimp para que esta clave API se conecte a esta cuenta
Mailchimp List,Lista de Mailchimp
Account Details,Detalles de la cuenta
Change the footer link,Cambiar el enlace de pie de página
"Enabling this, the ""Subscribe"" button at the bottom open a popup with the Mailchimp subscription form","Al habilitar esto, el botón ""Suscribirse"" en la parte inferior abre una ventana emergente con el formulario de suscripción de Mailchimp"
Popup Url,URL emergente
Paste the form URL from your MailChimp audience,Pegue la URL del formulario de su audiencia de MailChimp
Magento always manage emails,Magento siempre administra correos electrónicos
Enable Two Way Sync,Habilitar sincronización bidireccional
"If this is set to ""No"", the synchronization will be from Magento's newsletter to Mailchimp only","Si esto se configura en ""No"", la sincronización será solo del boletín informativo de Magento a Mailchimp"
Create Webhook,Crear webhook
Webhooks Delete action,Acción de eliminación de webhooks
Enable Log,Habilitar registro
Customer Fields Mapping,Mapeo de campos de clientes
Add the magento to mailchimp mapping,Agregar el mapeo de magento a mailchimp
Map the magento customer field to mailchimp merge_fields,Mapear el campo de cliente de magento a los campos de combinación de mailchimp
Resync Subscribers,Resincronizar suscriptores
Fix Mailchimp JS in frontend,Reparar Mailchimp JS en el frontend
Available Groups,Grupos disponibles
"If you <a href=""https://kb.mailchimp.com/lists/groups/create-a-new-list-group"" target=""_blank"">set up groups in Mailchimp</a>, include them in your checkout page so customers can choose the type of email marketing they want to receive.","Si <a href=""https://kb.mailchimp.com/lists/groups/create-a-new-list-group"" target=""_blank"">configura grupos en Mailchimp</a>, inclúyalos en su página de pago para que los clientes puedan elegir el tipo de marketing por correo electrónico que desean recibir."
Show groups after checkout?,¿Mostrar grupos después del pago?
"Don't use in magento 2.1 see at <a href=""https://github.com/magento/magento2/issues/4999"" target=""_blank"">here</a>","No lo use en Magento 2.1, consulte <a href=""https://github.com/magento/magento2/issues/4999"" target=""_blank"">aquí</a>"
