MailChimp,MailChimp
Save,Salva
Save and Continue Edit,Salva e continua Modifica
Delete,Elimina
Edit Store '%1',Modifica negozio '%1'
Add Store,Aggiungi negozio
Address,Indirizzo
Street,Via
City,Citt
Postal Code,Codice postale
Select one,Selezionane uno
Country,Paese
Store Address Info,Informazioni indirizzo negozio
General,Generale
Apikey,ApiKey
Select first an ApiKey,Seleziona prima un'ApiKey
List,Elenco
Name,Nome
Domain,Dominio
Email,E-mail
Currency,Valuta
Locale,Locale
TimeZone,Fuso orario
Phone,Telefono
Store Info,Informazioni negozio
Mailchimp Store Information,Informazioni negozio Mailchimp
button_label,button_label
Mailchimp,Mailchimp
Magento,Magento
Add,Aggiungi
Shipping Zip Code,CAP spedizione
Shipping Country,Paese spedizione
Shipping City,Città di spedizione
Shipping State,Stato spedizione
Shipping Telephone,Telefono spedizione
Shipping Company,Compagnia di spedizione
Billing Zip Code,CAP fatturazione
Billing Country,Paese fatturazione
Billing City,Città  fatturazione
Billing State,Stato fatturazione
Billing Telephone,Telefono fatturazione
Billing Company,Compagnia fatturazione
Mailchimp Batches,Batch Mailchimp
Mailchimp Cron,Cron Mailchimp
User name:,Nome utente:
Total Account Subscribers:,Totale iscritti account:
Total List Subscribers:,Totale iscritti elenco:
Ecommerce Data uploaded to MailChimp:,Dati e-commerce caricati su MailChimp:
Total customers:,Totale clienti:
Total products:,Totale prodotti:
Total orders:,Totale ordini:
Total Carts:,Totale carrelli:
"Ecommerce disabled, save configuration to enable","E-commerce disabilitato, salva configurazione per abilitare"
"Ecommerce disabled, only subscribers will be synchronized (your orders, products,etc will be not synchronized)","Ecommerce disabilitato, solo gli abbonati saranno sincronizzati (i tuoi ordini, prodotti, ecc. non saranno sincronizzati)"
--- Invalid API Key ---,--- Chiave API non valida ---
Mailchimp Errors,Errori Mailchimp
You deleted the store.,Hai eliminato il negozio.
'Store could not be deleted.' .,'Impossibile eliminare il negozio.' .
This store no longer exists.,Questo negozio non esiste più.
Mailchimp Store,Mailchimp Store
Mailchimp Stores,Mailchimp Stores
'Store could not be saved.' .,'Impossibile salvare il negozio.' .
You can't access this cart,Non puoi accedere a questo carrello
Login to complete your order,Accedi per completare l'ordine
Thanks for sharing your interest with us,Grazie per aver condiviso il tuo interesse con noi
Json error,Errore Json
Error retrieving interest groups for store ,Errore nel recupero dei gruppi di interesse per il negozio
Order [' . . '] is empty,L'ordine [' . . '] è vuoto
Parent rule with id ' . . 'has not been correctly sent.,La regola padre con ID ' . . 'non � stata inviata correttamente.
Something went wrong when retrieving the information for promo rule,Si è verificato un errore durante il recupero delle informazioni per la regola promozionale
Something went wrong when retrieving the information.,Si è verificato un problema durante il recupero delle informazioni.
Invalid API Key,Chiave API non valida
Username,Nome utente
This account is currently syncing,Questo account è attualmente in fase di sincronizzazione
Account Synced since,Account sincronizzato da
---No Data---,---Nessun dato---
No,No
Unsubscribe,Annulla iscrizione
Delete subscriber,Elimina abbonato
Syncing,Sincronizzazione
Synced,Sincronizzato
Waiting,In attesa
Error,Errore
Resyncing,Risincronizzazione
With error,Con errore
Unsupported,Non supportato
Edit,Modifica
MailChimp Information,Informazioni MailChimp
